1	Zadov – Churánov	Lipka	14,10	3	160	380
2	Lipka	Kubova Hut	9	3	300	140
3	Kubova Hut	Lenora	9,90	2	100	400
4	Lenora	Stožec	9,80	2	150	140
5	Stožec	Nová Pec	15,40	2	80	100
6	Nová Pec	Horní Planá	7,90	2	45	45
7	Horní Planá	Olšina	12,80	3	170	140
8	Olšina	Cerná v Pošumaví	6,40	2,5	130	120
9	Cerná v Pošumaví	Milná	9,40	3	161	140
10	Milná	Lipno nad Vltavou	13,80	2	68	120
11	Lipno nad Vltavou	Vyšší Brod	10,10	3,5	130	270
12	Vyšší Brod	Rožmberk	6,90	2,5	120	160
13	Rožmberk	Rožmitál na Šumave	8,20	4	270	170
14	Rožmitál na Šumave	Vežovatá Pláne	10	3	292	239
15	Vežovatá Pláne	Zlatá Koruna	11,50	3	130	360
16	Zlatá Koruna	Boršov	11,10	2,5	130	180
17	Boršov	Ceské Budejovice	8,20	1	10	30
18	Ceské Budejovice	Hluboká nad Vltavou	9,95	1	15	22
19	Hluboká nad Vltavou	Purkarec	11,60	2	150	150
20	Purkarec	Hnevkovice	10,10	1,5	140	150
21	Hnevkovice	Chráštany	13,40	3	200	100
22	Chráštany	Slabcice	6,60	2	60	80
23	Slabcice	Jetetice	9,40	2,5	157	155
24	Jetetice	Kvetov	9,30	2	130	130
25	Kvetov	Kostelec nad Vltavou	11,20	3	130	100
26	Kostelec nad Vltavou	Klucenice	9,50	3	150	170
27	Klucenice	Solenice	9	2,5	70	240
28	Solenice	Kamýk nad Vltavou	9,30	4	240	250
29	Kamýk nad Vltavou	Líchovy	9,60	2	160	85
30	Líchovy	Štola Josef	10,70	2,5	200	260
31	Štola Josef	Živohošt	10,25	4	260	280
32	Živohošt	Rabyne	11,20	4	320	320
33	Rabyne	Slapy	9,40	3	298	231
34	Slapy	Davle	12,90	4	281	420
35	Davle	Vrané nad Vltavou	8,20	3,5	190	160
36	Vrané nad Vltavou	Praha Braník	12	1	54	97
